size,n,dt,dx,a,xmed,stdvar,skew,iter,time,program_time,a_real,xmod_real,stdvar_real,skew_real,real_time
100,256,1.0e-19,3.906e-01,99.99999973,20.00102819,5.36190670,0.00549333,21541,2.154e-15,8.3193762302,100.00000000,20.00102602,5.04047805,0.00000000,2.1740000000e-14
100,256,5.0e-19,3.906e-01,99.99999973,20.00272888,5.36236434,0.00547237,4313,2.157e-15,1.7660543919,100.00000000,20.00272225,5.04048147,-0.00000000,2.1740921875e-14
100,256,1.0e-18,3.906e-01,99.99999972,20.00802061,5.36379013,0.00540731,2164,2.164e-15,1.2242088318,100.00000000,20.00801217,5.04049213,0.00000000,2.1743796875e-14
100,256,5.0e-18,3.906e-01,99.99999966,20.01046458,5.40321658,0.00364765,479,2.395e-15,0.1744613647,100.00000000,20.01045589,5.04049706,0.00000000,2.1745125000e-14
100,512,1.0e-19,1.953e-01,99.99999997,20.00168982,5.00780297,0.00302318,7182,7.182e-16,6.0729770660,100.00000000,20.00168726,5.04047938,-0.00000000,2.1740359375e-14
100,512,5.0e-19,1.953e-01,99.99999997,20.00517948,5.00750912,0.00307616,1440,7.200e-16,1.3921778202,100.00000000,20.00518034,5.04048642,-0.00000000,2.1742257812e-14
100,512,1.0e-18,1.953e-01,99.99999997,20.03666611,5.00664228,0.00323832,726,7.260e-16,1.0119106770,100.00000000,20.03667551,5.04054994,-0.00000000,2.1759375000e-14
100,1024,1.0e-19,9.766e-02,100.00000000,20.00199125,5.03073078,0.00072705,5869,5.869e-16,16.0274398327,100.00000000,20.00198913,5.04047999,-0.00000000,2.1740523437e-14
100,2048,1.0e-19,4.883e-02,100.00000000,20.00260529,5.03793947,0.00018299,5595,5.595e-16,65.0849461555,100.00000000,20.00260725,5.04048123,-0.00000000,2.1740859375e-14
250,256,1.0e-19,9.766e-01,99.99949255,20.00009217,30.03244005,-0.03873968,259325,2.593e-14,168.6189672947,100.00000000,20.00009166,5.04047616,0.00000000,2.1739492187e-14
250,256,5.0e-19,9.766e-01,99.99949250,20.00040005,30.03266376,-0.03874007,51867,2.593e-14,32.5143339634,100.00000000,20.00039353,5.04047677,-0.00000000,2.1739656250e-14
250,256,1.0e-18,9.766e-01,99.99949235,20.00116957,30.03322275,-0.03874109,25935,2.594e-14,13.3045599461,100.00000000,20.00116977,5.04047834,-0.00000000,2.1740078125e-14
250,256,5.0e-18,9.766e-01,99.99949180,20.00422324,30.03541825,-0.03875071,5189,2.595e-14,2.5071604252,100.00000000,20.00421723,5.04048448,0.00000000,2.1741734375e-14
250,256,1.0e-17,9.766e-01,99.99949047,20.01183997,30.04087802,-0.03877875,2596,2.596e-14,1.1646041870,100.00000000,20.01183587,5.04049984,0.00000000,2.1745875000e-14
250,512,1.0e-19,4.883e-01,99.99996916,20.00000632,27.64676606,-0.01101977,235794,2.358e-14,215.0487976074,100.00000000,20.00000541,5.04047599,0.00000000,2.1739445312e-14
250,512,5.0e-19,4.883e-01,99.99996915,20.00075677,27.64734256,-0.01100414,47186,2.359e-14,39.6302080154,100.00000000,20.00075290,5.04047750,-0.00000000,2.1739851562e-14
250,512,1.0e-18,4.883e-01,99.99996913,20.00055889,27.64744654,-0.01095391,23634,2.363e-14,25.6206655502,100.00000000,20.00056603,5.04047712,-0.00000000,2.1739750000e-14
250,512,5.0e-18,4.883e-01,99.99996848,20.00098318,27.65487505,-0.00943755,4990,2.495e-14,4.4999301434,100.00000000,20.00098290,5.04047796,-0.00000000,2.1739976562e-14
250,512,1.0e-17,4.883e-01,99.99996665,20.01239669,27.68068341,-0.00558733,2907,2.907e-14,2.5235154629,100.00000000,20.01239648,5.04050097,-0.00000000,2.1746179687e-14
250,1024,1.0e-19,2.441e-01,100.00000000,20.00018528,5.00016119,0.00477738,8453,8.453e-16,20.2633361816,100.00000000,20.00019228,5.04047637,-0.00000000,2.1739546875e-14
250,1024,5.0e-19,2.441e-01,100.00000000,20.02063389,5.00013260,0.00480362,1695,8.475e-16,4.5487699509,100.00000000,20.02063324,5.04051758,0.00000000,2.1750656250e-14
250,1024,1.0e-18,2.441e-01,100.00000000,20.01948549,5.00006622,0.00487475,853,8.530e-16,2.4512722492,100.00000000,20.01948326,5.04051526,-0.00000000,2.1750031250e-14
250,2048,1.0e-19,1.221e-01,100.00000000,20.00561883,5.02567299,0.00114266,6087,6.087e-16,49.6771960258,100.00000000,20.00562596,5.04048732,-0.00000000,2.1742500000e-14
250,2048,5.0e-19,1.221e-01,100.00000000,20.01070490,5.02499470,0.00123295,1221,6.105e-16,13.3912382126,100.00000000,20.01071463,5.04049758,-0.00000000,2.1745265625e-14
250,4096,1.0e-19,6.104e-02,100.00000000,20.00353664,5.03655820,0.00028350,5645,5.645e-16,171.9109294415,100.00000000,20.00352724,5.04048309,-0.00000000,2.1741359375e-14
400,256,1.0e-19,1.562e+00,100.00000000,20.00003979,15.01295457,-0.16322172,135267,1.353e-14,56.9505257607,100.00000000,20.00004854,5.04047608,-0.00000000,2.1739468750e-14
400,256,5.0e-19,1.562e+00,100.00000000,20.00133017,15.01339615,-0.16322184,27056,1.353e-14,9.8710508347,100.00000000,20.00132789,5.04047866,-0.00000000,2.1740164062e-14
400,256,1.0e-18,1.562e+00,100.00000000,20.00074206,15.01323425,-0.16321424,13529,1.353e-14,4.8519306183,100.00000000,20.00073853,5.04047747,0.00000000,2.1739843750e-14
400,256,5.0e-18,1.562e+00,100.00000000,20.00557743,15.01594667,-0.16301181,2709,1.355e-14,0.9992263317,100.00000000,20.00556846,5.04048720,-0.00000000,2.1742468750e-14
400,256,1.0e-17,1.562e+00,100.00000000,20.02065926,15.02440946,-0.16238016,1358,1.358e-14,0.4999003410,100.00000000,20.02066199,5.04051764,-0.00000000,2.1750671875e-14
400,256,5.0e-17,1.562e+00,100.00000000,20.03032999,15.13282849,-0.14223799,286,1.430e-14,0.1030452251,100.00000000,20.03032185,5.04053712,-0.00000000,2.1755921875e-14
400,256,1.0e-16,1.562e+00,100.00000000,20.05949356,15.42296125,-0.08863051,164,1.640e-14,0.0649902821,100.00000000,20.05950268,5.04059600,-0.00000000,2.1771781250e-14
400,512,1.0e-19,7.812e-01,100.00000000,20.00008523,5.04278146,0.04539097,27679,2.768e-15,23.2479336262,100.00000000,20.00007729,5.04047613,-0.00000000,2.1739484375e-14
400,512,5.0e-19,7.812e-01,100.00000000,20.00386227,5.04277672,0.04539842,5538,2.769e-15,4.4683973789,100.00000000,20.00387223,5.04048378,-0.00000000,2.1741546875e-14
400,512,1.0e-18,7.812e-01,100.00000000,20.00211643,5.04273306,0.04540870,2770,2.770e-15,2.5224668980,100.00000000,20.00211851,5.04048025,-0.00000000,2.1740593750e-14
400,512,5.0e-18,7.812e-01,100.00000000,20.04735321,5.04156123,0.04583355,557,2.785e-15,0.5730037689,100.00000000,20.04735598,5.04057149,0.00000000,2.1765179687e-14
400,512,1.0e-17,7.812e-01,100.00000000,20.08915805,5.03783731,0.04704513,281,2.810e-15,0.3747258186,100.00000000,20.08915788,5.04065589,0.00000000,2.1787898437e-14
400,1024,1.0e-19,3.906e-01,100.00000000,20.00157366,5.34976677,0.00565471,21289,2.129e-15,47.7823894024,100.00000000,20.00157226,5.04047915,0.00000000,2.1740296875e-14
400,1024,5.0e-19,3.906e-01,100.00000000,20.00727058,5.35029103,0.00563282,4263,2.132e-15,9.9979419708,100.00000000,20.00726468,5.04049062,-0.00000000,2.1743390625e-14
400,1024,1.0e-18,3.906e-01,100.00000000,20.01330343,5.35172637,0.00556633,2139,2.139e-15,5.4952003956,100.00000000,20.01330210,5.04050280,-0.00000000,2.1746671875e-14
400,1024,5.0e-18,3.906e-01,100.00000000,20.03531960,5.39152886,0.00376247,474,2.370e-15,1.5974116325,100.00000000,20.03532428,5.04054721,-0.00000000,2.1758640625e-14
400,2048,1.0e-19,1.953e-01,100.00000000,20.00117304,5.00786860,0.00301390,7176,7.176e-16,53.9417066574,100.00000000,20.00116977,5.04047834,-0.00000000,2.1740078125e-14
400,2048,5.0e-19,1.953e-01,100.00000000,20.01023387,5.00757526,0.00306746,1439,7.195e-16,13.5405654907,100.00000000,20.01022589,5.04049659,0.00000000,2.1745000000e-14
400,2048,1.0e-18,1.953e-01,100.00000000,20.01413168,5.00669419,0.00322797,725,7.250e-16,8.2255177498,100.00000000,20.01413583,5.04050448,0.00000000,2.1747125000e-14
400,4096,1.0e-19,9.766e-02,100.00000000,20.00576278,5.03075027,0.00072590,5869,5.869e-16,174.9412963390,100.00000000,20.00576970,5.04048761,-0.00000000,2.1742578125e-14
550,256,1.0e-19,2.148e+00,100.00000000,20.00040229,7.88359619,-0.30310695,92661,9.266e-15,35.9749898911,100.00000000,20.00039353,5.04047677,-0.00000000,2.1739656250e-14
550,256,5.0e-19,2.148e+00,100.00000000,20.00212530,7.88379757,-0.30313105,18533,9.267e-15,7.5196359158,100.00000000,20.00211851,5.04048025,-0.00000000,2.1740593750e-14
550,256,1.0e-18,2.148e+00,100.00000000,20.00427207,7.88404544,-0.30316139,9267,9.267e-15,4.8412423134,100.00000000,20.00427473,5.04048460,-0.00000000,2.1741765625e-14
550,256,5.0e-18,2.148e+00,100.00000000,20.01684929,7.88536574,-0.30335274,1854,9.270e-15,0.8106930256,100.00000000,20.01685267,5.04050995,-0.00000000,2.1748601562e-14
550,256,1.0e-17,2.148e+00,100.00000000,20.01568267,7.88472346,-0.30338861,927,9.270e-15,0.4632773399,100.00000000,20.01568831,5.04050761,-0.00000000,2.1747968750e-14
550,256,5.0e-17,2.148e+00,100.00000000,20.10778496,7.87942705,-0.30632274,186,9.300e-15,0.0751152039,100.00000000,20.10778762,5.04069353,-0.00000000,2.1798023437e-14
550,256,1.0e-16,2.148e+00,100.00000000,20.42160448,7.86597170,-0.31572719,94,9.400e-15,0.0413243771,100.00000000,20.42160374,5.04133020,-0.00000000,2.1968578125e-14
550,512,1.0e-19,1.074e+00,100.00000000,20.00004788,9.84115392,-0.09138506,82549,8.255e-15,64.8211772442,100.00000000,20.00004854,5.04047608,-0.00000000,2.1739468750e-14
550,512,5.0e-19,1.074e+00,100.00000000,20.00052817,9.84123901,-0.09138678,16510,8.255e-15,13.5165178776,100.00000000,20.00053728,5.04047706,-0.00000000,2.1739734375e-14
550,512,1.0e-18,1.074e+00,100.00000000,20.00051481,9.84122852,-0.09138855,8255,8.255e-15,6.8576035500,100.00000000,20.00050853,5.04047700,0.00000000,2.1739718750e-14
550,512,5.0e-18,1.074e+00,100.00000000,20.00008738,9.84089299,-0.09144527,1651,8.255e-15,1.6020700932,100.00000000,20.00009166,5.04047616,0.00000000,2.1739492187e-14
550,512,1.0e-17,1.074e+00,100.00000000,20.02297876,9.84426601,-0.09168017,826,8.260e-15,0.7577464581,100.00000000,20.02297633,5.04052230,-0.00000000,2.1751929687e-14
550,512,5.0e-17,1.074e+00,100.00000000,20.17389964,9.84603004,-0.09779854,166,8.300e-15,0.2054212093,100.00000000,20.17389729,5.04082725,0.00000000,2.1833953125e-14
550,1024,1.0e-19,5.371e-01,100.00000000,20.00032341,10.39181928,-0.02299983,80971,8.097e-15,182.6524412632,100.00000000,20.00032166,5.04047663,-0.00000000,2.1739617187e-14
550,1024,5.0e-19,5.371e-01,100.00000000,20.00071133,10.39205918,-0.02297500,16202,8.101e-15,36.4245736599,100.00000000,20.00070978,5.04047741,0.00000000,2.1739828125e-14
550,1024,1.0e-18,5.371e-01,100.00000000,20.00346317,10.39311555,-0.02289834,8112,8.112e-15,18.8862011433,100.00000000,20.00346974,5.04048297,-0.00000000,2.1741328125e-14
550,1024,5.0e-18,5.371e-01,100.00000000,20.01693771,10.41144450,-0.02049342,1685,8.425e-15,4.6202673912,100.00000000,20.01693892,5.04051013,-0.00000000,2.1748648437e-14
550,1024,1.0e-17,5.371e-01,100.00000000,20.01878468,10.45427932,-0.01392023,938,9.380e-15,2.7799360752,100.00000000,20.01879327,5.04051387,-0.00000000,2.1749656250e-14
550,2048,1.0e-19,2.686e-01,100.00000000,20.00181273,5.00158906,0.00575967,9350,9.350e-16,71.3841643333,100.00000000,20.00181664,5.04047964,0.00000000,2.1740429687e-14
550,2048,5.0e-19,2.686e-01,100.00000000,20.01063122,5.00168234,0.00577048,1874,9.370e-16,16.4887280464,100.00000000,20.01062838,5.04049740,-0.00000000,2.1745218750e-14
550,2048,1.0e-18,2.686e-01,100.00000000,20.02736522,5.00198806,0.00580058,943,9.430e-16,10.0097348690,100.00000000,20.02736064,5.04053115,-0.00000000,2.1754312500e-14
550,4096,1.0e-19,1.343e-01,100.00000000,20.00561889,5.02286577,0.00138806,6219,6.219e-16,182.0014812946,100.00000000,20.00562596,5.04048732,-0.00000000,2.1742500000e-14
550,4096,5.0e-19,1.343e-01,100.00000000,20.02977174,5.02226664,0.00147370,1248,6.240e-16,57.4560358524,100.00000000,20.02977561,5.04053602,-0.00000000,2.1755625000e-14
700,256,1.0e-19,2.734e+00,100.00000000,20.00018132,5.46839808,0.28395889,98639,9.864e-15,39.6109840870,100.00000000,20.00017791,5.04047634,-0.00000000,2.1739539062e-14
700,256,5.0e-19,2.734e+00,100.00000000,20.00139131,5.46842566,0.28395234,19730,9.865e-15,7.3554565907,100.00000000,20.00139977,5.04047880,-0.00000000,2.1740203125e-14
700,256,1.0e-18,2.734e+00,100.00000000,20.00137070,5.46842662,0.28395176,9866,9.866e-15,5.1501221657,100.00000000,20.00137102,5.04047874,-0.00000000,2.1740187500e-14
700,256,5.0e-18,2.734e+00,100.00000000,20.00476632,5.46854845,0.28391207,1975,9.875e-15,0.7964513302,100.00000000,20.00476347,5.04048558,-0.00000000,2.1742031250e-14
700,256,1.0e-17,2.734e+00,100.00000000,20.02298010,5.46909991,0.28374794,989,9.890e-15,0.4004061222,100.00000000,20.02297633,5.04052230,-0.00000000,2.1751929687e-14
700,256,5.0e-17,2.734e+00,100.00000000,20.07857165,5.47499555,0.28121263,200,1.000e-14,0.0914175510,100.00000000,20.07856366,5.04063449,0.00000000,2.1782140625e-14
700,256,1.0e-16,2.734e+00,100.00000000,20.27659141,5.49488550,0.27254169,102,1.020e-14,0.0515558720,100.00000000,20.27659082,5.04103539,0.00000000,2.1889765625e-14
700,512,1.0e-19,1.367e+00,100.00000000,20.00021875,7.10276091,-0.10402342,64777,6.478e-15,64.6649947166,100.00000000,20.00022103,5.04047642,-0.00000000,2.1739562500e-14
700,512,5.0e-19,1.367e+00,100.00000000,20.00181969,7.10292467,-0.10403335,12956,6.478e-15,12.4908375740,100.00000000,20.00181664,5.04047964,0.00000000,2.1740429687e-14
700,512,1.0e-18,1.367e+00,100.00000000,20.00103351,7.10291784,-0.10402687,6478,6.478e-15,6.9307377338,100.00000000,20.00102602,5.04047805,0.00000000,2.1740000000e-14
700,512,5.0e-18,1.367e+00,100.00000000,20.01908957,7.10657100,-0.10409912,1297,6.485e-15,1.2750544548,100.00000000,20.01908076,5.04051445,-0.00000000,2.1749812500e-14
700,512,1.0e-17,1.367e+00,100.00000000,20.03302904,7.11417350,-0.10404642,650,6.500e-15,0.8896446228,100.00000000,20.03302431,5.04054257,-0.00000000,2.1757390625e-14
700,512,5.0e-17,1.367e+00,100.00000000,20.28014158,7.33223529,-0.09914823,139,6.950e-15,0.1700284481,100.00000000,20.28014139,5.04104260,0.00000000,2.1891695312e-14
700,1024,1.0e-19,6.836e-01,100.00000000,20.00083536,5.14811757,0.02817979,25944,2.594e-15,56.0083587170,100.00000000,20.00083915,5.04047767,0.00000000,2.1739898437e-14
700,1024,5.0e-19,6.836e-01,100.00000000,20.00256332,5.14819044,0.02817494,5191,2.596e-15,11.8640711308,100.00000000,20.00256413,5.04048115,-0.00000000,2.1740835937e-14
700,1024,1.0e-18,6.836e-01,100.00000000,20.00121766,5.14836890,0.02815791,2597,2.597e-15,6.1206240654,100.00000000,20.00122727,5.04047845,-0.00000000,2.1740109375e-14
700,1024,5.0e-18,6.836e-01,100.00000000,20.01970806,5.15455021,0.02762846,525,2.625e-15,1.6196587086,100.00000000,20.01971325,5.04051572,-0.00000000,2.1750156250e-14
700,1024,1.0e-17,6.836e-01,100.00000000,20.11343180,5.17440675,0.02596776,270,2.700e-15,1.0233533382,100.00000000,20.11343691,5.04070495,-0.00000000,2.1801093750e-14
700,2048,1.0e-19,3.418e-01,100.00000000,20.00111489,5.07805508,0.00808823,14088,1.409e-15,104.0646314621,100.00000000,20.00111227,5.04047822,-0.00000000,2.1740046875e-14
700,2048,5.0e-19,3.418e-01,100.00000000,20.00756931,5.07844237,0.00806626,2822,1.411e-15,25.6935913563,100.00000000,20.00756655,5.04049123,0.00000000,2.1743554687e-14
700,2048,1.0e-18,3.418e-01,100.00000000,20.00292307,5.07955494,0.00799412,1417,1.417e-15,17.2066159248,100.00000000,20.00292349,5.04048187,0.00000000,2.1741031250e-14
700,2048,5.0e-18,3.418e-01,100.00000000,20.02250945,5.11448145,0.00578822,323,1.615e-15,5.7306125164,100.00000000,20.02250196,5.04052135,-0.00000000,2.1751671875e-14
700,4096,1.0e-19,1.709e-01,100.00000000,20.00362693,5.01380749,0.00228286,6726,6.726e-16,203.0386738777,100.00000000,20.00362786,5.04048329,-0.00000000,2.1741414062e-14
