,size,n,dt,dx,a,xmed,stdvar,skew,iter,time,program_time,a_real,xmod_real,stdvar_real,skew_real,real_time
0,100,256,1.0000000000000001e-20,0.3906,99.99999997,20.00025357,5.0404767,-2.29e-06,55067,5.507000000000001e-16,12.4787037373,100.0,20.00020589,5.04047639,0.0,2.1739558415e-14
1,100,256,5e-20,0.3906,99.99999997,20.00243275,5.04048109,-2.3e-06,11014,5.507000000000001e-16,2.5014739037,100.0,20.00238528,5.04048079,0.0,2.1740742867e-14
2,100,256,1e-19,0.3906,99.99999997,20.00243275,5.04048109,-2.3e-06,5507,5.507000000000001e-16,1.2393360138,100.0,20.00238528,5.04048079,0.0,2.1740742867e-14
3,100,256,5e-19,0.3906,99.99999997,20.02422452,5.04052504,-2.36e-06,1102,5.51e-16,0.2481629848,100.0,20.02417913,5.04052473,0.0,2.1752587363999998e-14
4,100,256,1e-18,0.3906,99.99999997,20.02422452,5.04052504,-2.36e-06,551,5.51e-16,0.1271879673,100.0,20.02417913,5.04052473,0.0,2.1752587363999998e-14
5,100,256,5e-18,0.3906,99.99999995,20.31478146,5.04111327,-3.43e-06,111,5.549999999999999e-16,0.025664091099999998,100.0,20.31473813,5.04111284,0.0,2.1910502232e-14
6,100,256,1e-17,0.3906,99.99999991,20.67797761,5.04185454,-5.45e-06,56,5.599999999999999e-16,0.013152360900000002,100.0,20.67793068,5.04185386,0.0,2.2107893027e-14
7,100,256,5e-17,0.3906,99.99999720000001,23.58354142,5.0480397,-0.00017308,12,6e-16,0.0030345917,100.0,23.58349541,5.04801704,0.0,2.3687029366e-14
8,100,256,1e-16,0.3906,99.99999720000001,23.58354142,5.0480397,-0.00017308,6,6e-16,0.0016548634,100.0,23.58349541,5.04801704,0.0,2.3687029366e-14
9,100,256,5e-16,0.3906,99.999926,24.8861318,5.51081906,-0.00459142,4,1.9999999999999998e-15,0.0012309551,100.0,24.88608853,5.05091545,0.0,2.4394971015e-14
